Gene,KEGG_definition,KEGG
MYCTH_2311559,mRNA surveillance pathway,mtm03015
MYCTH_2311577,Glycerophospholipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00564;mtm01100;mtm01110
MYCTH_2311587,Autophagy - yeast,mtm04138
MYCTH_2311591,Ribosome,mtm03010
MYCTH_2311601,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2311651,Tryptophan metabolism;Metabolic pathways,mtm00380;mtm01100
MYCTH_2311660,RNA degradation,mtm03018
MYCTH_2311677,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways,mtm00510;mtm00513;mtm01100
MYCTH_2311684,Biosynthesis of unsaturated fatty acids;Metabolic pathways;Fatty acid metabolism;Peroxisome,mtm01040;mtm01100;mtm01212;mtm04146
MYCTH_2311689,Purine metabolism;Caffeine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Peroxisome,mtm00230;mtm00232;mtm01100;mtm01110;mtm04146
MYCTH_2311698,Ubiquitin mediated proteolysis;Protein processing in endoplasmic reticulum,mtm04120;mtm04141
MYCTH_2311706,Mitophagy - yeast,mtm04139
MYCTH_2311711,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2311726,Ribosome,mtm03010
MYCTH_2311727,RNA degradation,mtm03018
MYCTH_2311735,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2311737,Sphingolipid metabolism;Metabolic pathways,mtm00600;mtm01100
MYCTH_2311785,Meiosis - yeast,mtm04113
MYCTH_2311811,Ubiquinone and other terpenoid-quinone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00130;mtm01100;mtm01110;mtm01240
MYCTH_2311835,Autophagy - other;Autophagy - yeast;Mitophagy - yeast,mtm04136;mtm04138;mtm04139
MYCTH_2311843,Autophagy - yeast,mtm04138
MYCTH_2311855,Glycolysis / Gluconeogenesis;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids,mtm00010;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2311886,Spliceosome,mtm03040
MYCTH_2311889,Nicotinate and nicotinamide metabolism;Metabolic pathways,mtm00760;mtm01100
MYCTH_2311907,Endocytosis,mtm04144
MYCTH_2311910,"Alanine, aspartate and glutamate metabolism;Glycine, serine and threonine metabolism;Glyoxylate and dicarboxylate metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Peroxisome",mtm00250;mtm00260;mtm00630;mtm00680;mtm01100;mtm01110;mtm01200;mtm04146
MYCTH_2311912,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2311944,Ribosome,mtm03010
MYCTH_2311956,Endocytosis,mtm04144
MYCTH_2311966,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2311970,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2311995,Basal transcription factors;Nucleotide excision repair,mtm03022;mtm03420
MYCTH_2312029,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2312035,RNA degradation,mtm03018
MYCTH_2312036,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2312046,Ribosome,mtm03010
MYCTH_2312083,Pentose phosphate pathway;Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids,mtm00030;mtm00230;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2312102,Ribosome,mtm03010
MYCTH_2312111,RNA polymerase,mtm03020
MYCTH_2312115,Peroxisome,mtm04146
MYCTH_2312147,Citrate cycle (TCA cycle);Propanoate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00020;mtm00640;mtm01100;mtm01110;mtm01200
MYCTH_2312159,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2312170,Ribosome,mtm03010
MYCTH_2312181,Oxidative phosphorylation;Metabolic pathways;Phagosome,mtm00190;mtm01100;mtm04145
MYCTH_2312214,ABC transporters;Peroxisome,mtm02010;mtm04146
MYCTH_2312237,Basal transcription factors;Nucleotide excision repair,mtm03022;mtm03420
MYCTH_2312253,Ribosome,mtm03010
MYCTH_2312284,Proteasome,mtm03050
MYCTH_2312297,Cell cycle - yeast,mtm04111
MYCTH_2312316,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2312322,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2312360,Spliceosome,mtm03040
MYCTH_2312362,Cell cycle - yeast;Meiosis - yeast,mtm04111;mtm04113
MYCTH_2312374,Starch and sucrose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00500;mtm01100;mtm01110
MYCTH_2312383,Citrate cycle (TCA cycle);Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00020;mtm01100;mtm01110;mtm01200
MYCTH_2312385,Basal transcription factors;Nucleotide excision repair,mtm03022;mtm03420
MYCTH_2312390,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2312423,Spliceosome,mtm03040
MYCTH_2312445,Spliceosome,mtm03040
MYCTH_2312474,"Phenylalanine, tyrosine and tryptophan biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00400;mtm01100;mtm01110;mtm01230
MYCTH_2312501,Arginine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,mtm00220;mtm01100;mtm01110;mtm01230
MYCTH_2312523,Autophagy - yeast,mtm04138
MYCTH_2312538,Other types of O-glycan biosynthesis;Mannose type O-glycan biosynthesis;Metabolic pathways,mtm00514;mtm00515;mtm01100
MYCTH_2312551,Cysteine and methionine metabolism;Sulfur metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids,mtm00270;mtm00920;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2312570,Citrate cycle (TCA cycle);Glyoxylate and dicarboxylate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,mtm00020;mtm00630;mtm01100;mtm01110;mtm01200;mtm01210;mtm01230
MYCTH_2312579,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2312608,mRNA surveillance pathway,mtm03015
MYCTH_2312639,Fructose and mannose metabolism;Metabolic pathways,mtm00051;mtm01100
MYCTH_2312662,"Alanine, aspartate and glutamate metabolism;Nitrogen metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00250;mtm00910;mtm01100;mtm01110;mtm01230
MYCTH_2312668,SNARE interactions in vesicular transport,mtm04130
MYCTH_2312705,Ribosome,mtm03010
MYCTH_2312753,Various types of N-glycan biosynthesis;Metabolic pathways,mtm00513;mtm01100
MYCTH_2312755,Sphingolipid metabolism;Metabolic pathways,mtm00600;mtm01100
MYCTH_2312770,DNA replication;Nucleotide excision repair;Mismatch repair,mtm03030;mtm03420;mtm03430
MYCTH_2312776,DNA replication;Nucleotide excision repair;Mismatch repair,mtm03030;mtm03420;mtm03430
MYCTH_2312782,RNA polymerase,mtm03020
MYCTH_2312789,"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00220;mtm00250;mtm01100;mtm01110;mtm01230
MYCTH_2312792,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2312808,Citrate cycle (TCA cycle);Metabolic pathways;Biosynthesis of secondary metabolites,mtm00020;mtm01100;mtm01110
MYCTH_2312809,Ribosome,mtm03010
MYCTH_2312819,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways,mtm00510;mtm00513;mtm01100
MYCTH_2312849,Arginine biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids,mtm00220;mtm01100;mtm01110;mtm01210;mtm01230
MYCTH_2312869,"Valine, leucine and isoleucine degradation;Butanoate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Peroxisome",mtm00280;mtm00650;mtm01100;mtm01110;mtm04146
MYCTH_2312902,Tryptophan metabolism;Cyanoamino acid metabolism;Nitrogen metabolism;Metabolic pathways,mtm00380;mtm00460;mtm00910;mtm01100
MYCTH_2312905,Mismatch repair,mtm03430
MYCTH_2312908,Autophagy - yeast,mtm04138
MYCTH_2312913,"Phenylalanine, tyrosine and tryptophan biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00400;mtm01100;mtm01110;mtm01230
MYCTH_2312940,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2312943,Endocytosis,mtm04144
MYCTH_2312947,Phagosome,mtm04145
MYCTH_2312962,Ribosome,mtm03010
MYCTH_2312966,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,mtm00563;mtm01100
MYCTH_2312968,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2312981,Sphingolipid metabolism;Metabolic pathways,mtm00600;mtm01100
MYCTH_2313014,Pyruvate metabolism;Metabolic pathways,mtm00620;mtm01100
MYCTH_2313117,Oxidative phosphorylation,mtm00190
MYCTH_2313124,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2313137,Galactose metabolism;Glycerolipid metabolism;Sphingolipid metabolism;Glycosphingolipid biosynthesis - globo and isoglobo series;Metabolic pathways,mtm00052;mtm00561;mtm00600;mtm00603;mtm01100
MYCTH_2313145,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2313159,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways;Protein processing in endoplasmic reticulum,mtm00510;mtm00513;mtm01100;mtm04141
MYCTH_2313161,DNA replication;Nucleotide excision repair;Mismatch repair,mtm03030;mtm03420;mtm03430
MYCTH_2313212,"Glycine, serine and threonine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00260;mtm00400;mtm01100;mtm01110;mtm01230
MYCTH_2313215,Ribosome,mtm03010
MYCTH_2313219,"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Cysteine and methionine metabolism;Arginine and proline metabolism;Tyrosine metabolism;Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids",mtm00220;mtm00250;mtm00270;mtm00330;mtm00350;mtm00360;mtm00400;mtm01100;mtm01110;mtm01200;mtm01210;mtm01230
MYCTH_2313301,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2313331,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2313342,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2313356,Cell cycle - yeast;Meiosis - yeast;Ubiquitin mediated proteolysis,mtm04111;mtm04113;mtm04120
MYCTH_2313362,Endocytosis,mtm04144
MYCTH_2313379,Ribosome,mtm03010
MYCTH_2313529,Glycerophospholipid metabolism;Biosynthesis of secondary metabolites;MAPK signaling pathway - yeast,mtm00564;mtm01110;mtm04011
MYCTH_2313535,Proteasome,mtm03050
MYCTH_2313559,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2313562,Ubiquinone and other terpenoid-quinone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00130;mtm01100;mtm01110;mtm01240
MYCTH_2313627,Vitamin B6 metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00750;mtm01100;mtm01240
MYCTH_2313641,Glutathione metabolism;Metabolic pathways,mtm00480;mtm01100
MYCTH_2313651,SNARE interactions in vesicular transport;Autophagy - yeast,mtm04130;mtm04138
MYCTH_2313750,"Glycine, serine and threonine metabolism;Glyoxylate and dicarboxylate metabolism;One carbon pool by folate;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism",mtm00260;mtm00630;mtm00670;mtm01100;mtm01110;mtm01200
MYCTH_2313759,Ribosome,mtm03010
MYCTH_2313766,Ribosome,mtm03010
MYCTH_2313783,Cysteine and methionine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of cofactors,mtm00270;mtm01100;mtm01110;mtm01230;mtm01240
MYCTH_2313790,Ribosome,mtm03010
MYCTH_2313806,Proteasome,mtm03050
MYCTH_2313833,"Alanine, aspartate and glutamate metabolism;Amino sugar and nucleotide sugar metabolism;Metabolic pathways",mtm00250;mtm00520;mtm01100
MYCTH_2313891,Ribosome,mtm03010
MYCTH_2313931,Proteasome,mtm03050
MYCTH_2314011,Ribosome,mtm03010
MYCTH_2314123,"Pyrimidine metabolism;Alanine, aspartate and glutamate metabolism;Metabolic pathways;Biosynthesis of cofactors",mtm00240;mtm00250;mtm01100;mtm01240
MYCTH_2314125,Endocytosis,mtm04144
MYCTH_2314136,Cysteine and methionine metabolism;Selenocompound metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,mtm00270;mtm00450;mtm01100;mtm01110;mtm01230
MYCTH_2314148,Purine metabolism;Pyrimidine metabolism;Metabolic pathways,mtm00230;mtm00240;mtm01100
MYCTH_2314160,One carbon pool by folate;Metabolic pathways;Carbon metabolism,mtm00670;mtm01100;mtm01200
MYCTH_2314205,Endocytosis,mtm04144
MYCTH_2314258,RNA polymerase,mtm03020
MYCTH_2314321,"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Cysteine and methionine metabolism;Arginine and proline metabolism;Tyrosine metabolism;Phenylalanine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids",mtm00220;mtm00250;mtm00270;mtm00330;mtm00350;mtm00360;mtm00400;mtm01100;mtm01110;mtm01200;mtm01210;mtm01230
MYCTH_2314502,Oxidative phosphorylation;Metabolic pathways;Phagosome,mtm00190;mtm01100;mtm04145
MYCTH_2314521,Ribosome,mtm03010
MYCTH_2314529,Ribosome,mtm03010
MYCTH_2314544,Pyruvate metabolism;Metabolic pathways,mtm00620;mtm01100
MYCTH_2314609,Ribosome,mtm03010
MYCTH_2314616,"Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids",mtm00260;mtm00270;mtm00680;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2314627,SNARE interactions in vesicular transport;Phagosome,mtm04130;mtm04145
MYCTH_2314668,mRNA surveillance pathway;Spliceosome,mtm03015;mtm03040
MYCTH_2314691,Protein export;Protein processing in endoplasmic reticulum;Phagosome,mtm03060;mtm04141;mtm04145
MYCTH_2314726,Cell cycle - yeast;Ubiquitin mediated proteolysis,mtm04111;mtm04120
MYCTH_2314728,Ribosome,mtm03010
MYCTH_2314785,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2314839,Purine metabolism;Metabolic pathways,mtm00230;mtm01100
MYCTH_2314842,Folate biosynthesis;Biosynthesis of cofactors,mtm00790;mtm01240
MYCTH_2314846,RNA degradation,mtm03018
MYCTH_2314882,"Glycine, serine and threonine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00260;mtm01100;mtm01110;mtm01230
MYCTH_2314931,Sphingolipid metabolism;Metabolic pathways,mtm00600;mtm01100
MYCTH_2314933,Ribosome,mtm03010
MYCTH_2314934,Ribosome,mtm03010
MYCTH_2315007,Starch and sucrose metabolism;Metabolic pathways,mtm00500;mtm01100
MYCTH_2315009,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,mtm00563;mtm01100
MYCTH_2315024,Purine metabolism;Caffeine metabolism;Metabolic pathways,mtm00230;mtm00232;mtm01100
MYCTH_2315051,Ribosome,mtm03010
MYCTH_2315052,Citrate cycle (TCA cycle);Cysteine and methionine metabolism;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00020;mtm00270;mtm00620;mtm00630;mtm01100;mtm01110;mtm01200
MYCTH_2315077,Ribosome,mtm03010
MYCTH_2315098,MAPK signaling pathway - yeast,mtm04011
MYCTH_2315100,mRNA surveillance pathway;Meiosis - yeast,mtm03015;mtm04113
MYCTH_2315106,N-Glycan biosynthesis;Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;Metabolic pathways,mtm00510;mtm00563;mtm01100
MYCTH_2315114,Pentose phosphate pathway;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00030;mtm01100;mtm01110;mtm01200
MYCTH_2315209,Ribosome,mtm03010
MYCTH_2315211,Cell cycle - yeast;Ubiquitin mediated proteolysis;Protein processing in endoplasmic reticulum,mtm04111;mtm04120;mtm04141
MYCTH_2315249,Ribosome,mtm03010
MYCTH_2315255,SNARE interactions in vesicular transport;Autophagy - yeast,mtm04130;mtm04138
MYCTH_2315290,Ribosome,mtm03010
MYCTH_2315322,mRNA surveillance pathway,mtm03015
MYCTH_2315436,Lysine degradation;Metabolic pathways,mtm00310;mtm01100
MYCTH_2315513,Protein export;Protein processing in endoplasmic reticulum,mtm03060;mtm04141
MYCTH_2315516,SNARE interactions in vesicular transport,mtm04130
MYCTH_2315552,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2315566,Autophagy - yeast,mtm04138
MYCTH_2315602,Ribosome,mtm03010
MYCTH_2315623,Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Pyruvate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00010;mtm00020;mtm00620;mtm01100;mtm01110;mtm01200
MYCTH_2315649,Ribosome,mtm03010
MYCTH_2315657,Ubiquitin mediated proteolysis;Protein processing in endoplasmic reticulum,mtm04120;mtm04141
MYCTH_2315711,Ribosome,mtm03010
MYCTH_2315754,Arginine and proline metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00330;mtm01100;mtm01110
MYCTH_2315781,Ribosome,mtm03010
MYCTH_2315847,"Valine, leucine and isoleucine degradation;Metabolic pathways",mtm00280;mtm01100
MYCTH_2315848,MAPK signaling pathway - yeast;Mitophagy - yeast,mtm04011;mtm04139
MYCTH_2315910,Thiamine metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00730;mtm01100;mtm01240
MYCTH_2315941,"Glycolysis / Gluconeogenesis;Glycine, serine and threonine metabolism;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids",mtm00010;mtm00260;mtm00680;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2315948,DNA replication,mtm03030
MYCTH_2316017,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2316023,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2316024,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2316112,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2316205,Endocytosis,mtm04144
MYCTH_2316209,MAPK signaling pathway - yeast;Mitophagy - yeast,mtm04011;mtm04139
MYCTH_2316240,Glycolysis / Gluconeogenesis;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids,mtm00010;mtm01100;mtm01110;mtm01200;mtm01230
MYCTH_2316262,Vitamin B6 metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00750;mtm01100;mtm01240
MYCTH_2316294,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2316346,"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Glyoxylate and dicarboxylate metabolism;Nitrogen metabolism;Metabolic pathways;Biosynthesis of amino acids",mtm00220;mtm00250;mtm00630;mtm00910;mtm01100;mtm01230
MYCTH_2316407,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2316413,MAPK signaling pathway - yeast,mtm04011
MYCTH_2316445,Ribosome,mtm03010
MYCTH_2316483,Oxidative phosphorylation;Metabolic pathways;Phagosome,mtm00190;mtm01100;mtm04145
MYCTH_2316489,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2316497,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2316519,SNARE interactions in vesicular transport,mtm04130
MYCTH_2316525,Purine metabolism;Thiamine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00230;mtm00730;mtm01100;mtm01110;mtm01240
MYCTH_2316558,Ribosome,mtm03010
MYCTH_2316572,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways;Protein processing in endoplasmic reticulum,mtm00510;mtm00513;mtm01100;mtm04141
MYCTH_2316574,mRNA surveillance pathway;Spliceosome,mtm03015;mtm03040
MYCTH_2316579,Endocytosis,mtm04144
MYCTH_2316610,Autophagy - yeast;Endocytosis,mtm04138;mtm04144
MYCTH_2316642,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2316657,Spliceosome,mtm03040
MYCTH_2316706,MAPK signaling pathway - yeast;Endocytosis,mtm04011;mtm04144
MYCTH_2316731,Citrate cycle (TCA cycle);Metabolic pathways;Biosynthesis of secondary metabolites,mtm00020;mtm01100;mtm01110
MYCTH_35909,Pyrimidine metabolism;Metabolic pathways,mtm00240;mtm01100
MYCTH_36979,Ribosome,mtm03010
MYCTH_37094,Autophagy - other;Autophagy - yeast,mtm04136;mtm04138
MYCTH_37566,Meiosis - yeast,mtm04113
MYCTH_38200,Cyanoamino acid metabolism;Starch and sucrose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00460;mtm00500;mtm01100;mtm01110
MYCTH_38472,Terpenoid backbone biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00900;mtm01100;mtm01110
MYCTH_38939,Glycolysis / Gluconeogenesis;Cysteine and methionine metabolism;Pyruvate metabolism;Propanoate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00010;mtm00270;mtm00620;mtm00640;mtm01100;mtm01110
MYCTH_39035,Pentose and glucuronate interconversions;Metabolic pathways,mtm00040;mtm01100
MYCTH_39133,"Glycine, serine and threonine metabolism;Penicillin and cephalosporin biosynthesis;Arginine and proline metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Peroxisome",mtm00260;mtm00311;mtm00330;mtm01100;mtm01110;mtm04146
MYCTH_39983,Fatty acid biosynthesis;Fatty acid elongation;Metabolic pathways;Fatty acid metabolism,mtm00061;mtm00062;mtm01100;mtm01212
MYCTH_40109,Inositol phosphate metabolism;Metabolic pathways;Phosphatidylinositol signaling system;Autophagy - other;Autophagy - yeast;Phagosome,mtm00562;mtm01100;mtm04070;mtm04136;mtm04138;mtm04145
MYCTH_40111,Galactose metabolism;Other glycan degradation;Sphingolipid metabolism;Metabolic pathways,mtm00052;mtm00511;mtm00600;mtm01100
MYCTH_40367,Riboflavin metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00740;mtm01100;mtm01240
MYCTH_40719,Fructose and mannose metabolism;Glycerolipid metabolism;Methane metabolism;Metabolic pathways;Carbon metabolism,mtm00051;mtm00561;mtm00680;mtm01100;mtm01200
MYCTH_40891,Pentose and glucuronate interconversions;Metabolic pathways,mtm00040;mtm01100
MYCTH_40930,Autophagy - other;Autophagy - yeast,mtm04136;mtm04138
MYCTH_40990,Lysine degradation;Metabolic pathways,mtm00310;mtm01100
MYCTH_41043,Nitrogen metabolism,mtm00910
MYCTH_41800,Tryptophan metabolism;Metabolic pathways,mtm00380;mtm01100
MYCTH_42071,Amino sugar and nucleotide sugar metabolism;Metabolic pathways,mtm00520;mtm01100
MYCTH_42269,Steroid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00100;mtm01100;mtm01110
MYCTH_42937,Starch and sucrose metabolism;Metabolic pathways,mtm00500;mtm01100
MYCTH_43356,Starch and sucrose metabolism;Metabolic pathways,mtm00500;mtm01100
MYCTH_43573,Pyrimidine metabolism;Metabolic pathways,mtm00240;mtm01100
MYCTH_43648,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_43671,Pentose and glucuronate interconversions;Metabolic pathways,mtm00040;mtm01100
MYCTH_44230,Tyrosine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00350;mtm01100;mtm01110
MYCTH_44554,Cell cycle - yeast,mtm04111
MYCTH_44863,Ascorbate and aldarate metabolism;Metabolic pathways;Biosynthesis of cofactors,mtm00053;mtm01100;mtm01240
MYCTH_45107,Meiosis - yeast,mtm04113
MYCTH_46579,Cell cycle - yeast,mtm04111
MYCTH_46981,"Phenylalanine, tyrosine and tryptophan biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00400;mtm01100;mtm01110;mtm01230
MYCTH_47778,Nitrogen metabolism,mtm00910
MYCTH_49355,Purine metabolism;Sulfur metabolism;Metabolic pathways,mtm00230;mtm00920;mtm01100
MYCTH_49425,Terpenoid backbone biosynthesis;Biosynthesis of secondary metabolites,mtm00900;mtm01110
MYCTH_49818,mRNA surveillance pathway,mtm03015
MYCTH_50083,Steroid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00100;mtm01100;mtm01110
MYCTH_50142,Cell cycle - yeast,mtm04111
MYCTH_50281,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_50335,ABC transporters,mtm02010
MYCTH_50532,Protein export,mtm03060
MYCTH_50608,Amino sugar and nucleotide sugar metabolism;Metabolic pathways,mtm00520;mtm01100
MYCTH_50705,Amino sugar and nucleotide sugar metabolism;Metabolic pathways,mtm00520;mtm01100
MYCTH_50837,Biosynthesis of unsaturated fatty acids;Metabolic pathways;Fatty acid metabolism,mtm01040;mtm01100;mtm01212
MYCTH_51545,Starch and sucrose metabolism;Metabolic pathways,mtm00500;mtm01100
MYCTH_51856,Glycerophospholipid metabolism,mtm00564
MYCTH_52068,Starch and sucrose metabolism;Metabolic pathways,mtm00500;mtm01100
MYCTH_52082,Metabolic pathways,mtm01100
MYCTH_52463,Pentose and glucuronate interconversions;Metabolic pathways,mtm00040;mtm01100
MYCTH_52645,Glycerolipid metabolism;Glycerophospholipid metabolism;Biosynthesis of secondary metabolites,mtm00561;mtm00564;mtm01110
MYCTH_53055,Riboflavin metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors,mtm00740;mtm01100;mtm01110;mtm01240
MYCTH_53288,Tyrosine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00350;mtm01100;mtm01110
MYCTH_53508,Glycerolipid metabolism;Metabolic pathways,mtm00561;mtm01100
MYCTH_54167,ABC transporters,mtm02010
MYCTH_54601,Amino sugar and nucleotide sugar metabolism;Metabolic pathways,mtm00520;mtm01100
MYCTH_54712,Aflatoxin biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00254;mtm01100;mtm01110
MYCTH_55717,Pentose and glucuronate interconversions;Metabolic pathways,mtm00040;mtm01100
MYCTH_56173,Steroid biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00100;mtm01100;mtm01110
MYCTH_56445,Homologous recombination,mtm03440
MYCTH_56516,MAPK signaling pathway - yeast;Endocytosis,mtm04011;mtm04144
MYCTH_57224,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_57338,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
