Gene,KEGG_definition,KEGG
MYCTH_2079774,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2079848,mRNA surveillance pathway,mtm03015
MYCTH_2080075,Sphingolipid metabolism;Metabolic pathways;Autophagy - yeast,mtm00600;mtm01100;mtm04138
MYCTH_2080102,mRNA surveillance pathway;Cell cycle - yeast;Meiosis - yeast,mtm03015;mtm04111;mtm04113
MYCTH_2080506,"Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids",mtm00260;mtm00270;mtm01100;mtm01110;mtm01230
MYCTH_2080603,Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Pyruvate metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00010;mtm00020;mtm00620;mtm01100;mtm01110;mtm01200
MYCTH_2080800,Cell cycle - yeast;Meiosis - yeast;Ubiquitin mediated proteolysis,mtm04111;mtm04113;mtm04120
MYCTH_2081074,RNA degradation,mtm03018
MYCTH_2081891,Oxidative phosphorylation;Metabolic pathways;Phagosome,mtm00190;mtm01100;mtm04145
MYCTH_2082262,Starch and sucrose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00500;mtm01100;mtm01110
MYCTH_2082283,Glycolysis / Gluconeogenesis;Galactose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00010;mtm00052;mtm01100;mtm01110
MYCTH_2082917,Citrate cycle (TCA cycle);Lysine degradation;Tryptophan metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Carbon metabolism,mtm00020;mtm00310;mtm00380;mtm01100;mtm01110;mtm01200
MYCTH_2084007,Endocytosis,mtm04144
MYCTH_2084160,mRNA surveillance pathway,mtm03015
MYCTH_2084256,Proteasome,mtm03050
MYCTH_2084531,Glutathione metabolism;Metabolic pathways,mtm00480;mtm01100
MYCTH_2084627,Proteasome,mtm03050
MYCTH_2085059,"Valine, leucine and isoleucine biosynthesis;Butanoate metabolism;C5-Branched dibasic acid metabolism;Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids",mtm00290;mtm00650;mtm00660;mtm00770;mtm01100;mtm01110;mtm01210;mtm01230
MYCTH_2085895,Pantothenate and CoA biosynthesis;Metabolic pathways;Biosynthesis of cofactors,mtm00770;mtm01100;mtm01240
MYCTH_2086155,Lysine degradation;Metabolic pathways,mtm00310;mtm01100
MYCTH_2086212,Basal transcription factors,mtm03022
MYCTH_2086391,RNA degradation,mtm03018
MYCTH_2086451,Mismatch repair,mtm03430
MYCTH_2086470,Ribosome,mtm03010
MYCTH_2086777,Oxidative phosphorylation;Metabolic pathways;Phagosome,mtm00190;mtm01100;mtm04145
MYCTH_2087100,Purine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00230;mtm01100;mtm01110
MYCTH_2087474,Aminoacyl-tRNA biosynthesis,mtm00970
MYCTH_2087807,Galactose metabolism;Starch and sucrose metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00052;mtm00500;mtm01100;mtm01110
MYCTH_2088086,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2088191,Endocytosis,mtm04144
MYCTH_2088290,Protein processing in endoplasmic reticulum,mtm04141
MYCTH_2088454,Lysine biosynthesis;Lysine degradation;Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids,mtm00300;mtm00310;mtm01100;mtm01110;mtm01230
MYCTH_2088473,Ribosome,mtm03010
MYCTH_2088816,N-Glycan biosynthesis;Various types of N-glycan biosynthesis;Metabolic pathways;Protein processing in endoplasmic reticulum,mtm00510;mtm00513;mtm01100;mtm04141
MYCTH_2088876,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2088965,Sphingolipid metabolism;Metabolic pathways,mtm00600;mtm01100
MYCTH_2090056,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2090548,Ubiquitin mediated proteolysis,mtm04120
MYCTH_2090554,"Arginine biosynthesis;Alanine, aspartate and glutamate metabolism;Nitrogen metabolism;Metabolic pathways",mtm00220;mtm00250;mtm00910;mtm01100
MYCTH_2090577,Oxidative phosphorylation;Metabolic pathways;Phagosome,mtm00190;mtm01100;mtm04145
MYCTH_2090680,DNA replication,mtm03030
MYCTH_2090897,Glycerolipid metabolism;Glycerophospholipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00561;mtm00564;mtm01100;mtm01110
MYCTH_2091001,Ribosome,mtm03010
MYCTH_2091453,Ribosome biogenesis in eukaryotes,mtm03008
MYCTH_2091473,Oxidative phosphorylation;Metabolic pathways,mtm00190;mtm01100
MYCTH_2091486,Glyoxylate and dicarboxylate metabolism;Metabolic pathways,mtm00630;mtm01100
MYCTH_2091689,Ribosome,mtm03010
MYCTH_2092086,Sphingolipid metabolism;Metabolic pathways,mtm00600;mtm01100
MYCTH_2092438,Spliceosome,mtm03040
MYCTH_2092688,"Valine, leucine and isoleucine degradation;Butanoate metabolism;Metabolic pathways",mtm00280;mtm00650;mtm01100
MYCTH_2093728,Endocytosis;Phagosome,mtm04144;mtm04145
MYCTH_2093808,Peroxisome,mtm04146
MYCTH_2094032,Glycerophospholipid metabolism;Metabolic pathways;Biosynthesis of secondary metabolites,mtm00564;mtm01100;mtm01110
MYCTH_2094324,Other glycan degradation,mtm00511
MYCTH_2094824,Linoleic acid metabolism,mtm00591
