Gene,GOID,DEFINITION,ONTOLOGY,TERM
MYCTH_2296536,GO:0005975,"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.",BP,carbohydrate metabolic process
MYCTH_2296536,GO:0016868,Catalysis of the transfer of a phosphate group from one position to another within a single molecule.,MF,"intramolecular transferase activity, phosphotransferases"
MYCTH_2296536,GO:0000287,Interacting selectively and non-covalently with magnesium (Mg) ions.,MF,magnesium ion binding
MYCTH_2296536,GO:0004614,Catalysis of the reaction: alpha-D-glucose 1-phosphate = alpha-D-glucose 6-phosphate.,MF,phosphoglucomutase activity
MYCTH_2302360,GO:0008080,Catalysis of the transfer of an acetyl group to a nitrogen atom on the acceptor molecule.,MF,N-acetyltransferase activity
MYCTH_2312083,GO:0000287,Interacting selectively and non-covalently with magnesium (Mg) ions.,MF,magnesium ion binding
MYCTH_2134429,GO:0004605,Catalysis of the reaction: CTP + phosphatidate = diphosphate + CDP-diacylglycerol.,MF,phosphatidate cytidylyltransferase activity
MYCTH_2134429,GO:0016020,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,CC,membrane
MYCTH_2307154,GO:0004112,Catalysis of the reaction: a nucleoside cyclic phosphate + H2O = a nucleoside phosphate.,MF,cyclic-nucleotide phosphodiesterase activity
MYCTH_2306919,GO:0008033,"The process in which a pre-tRNA molecule is converted to a mature tRNA, ready for addition of an aminoacyl group.",BP,tRNA processing
MYCTH_2306919,GO:0000049,Interacting selectively and non-covalently with transfer RNA.,MF,tRNA binding
MYCTH_2309057,GO:0003855,Catalysis of the reaction: 3-dehydroquinate = 3-dehydroshikimate + H(2)O.,MF,3-dehydroquinate dehydratase activity
MYCTH_2314125,GO:0005096,"Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP.",MF,GTPase activator activity
MYCTH_2122542,GO:0033609,"The chemical reactions and pathways involving oxalate, the organic acid ethanedioate.",BP,oxalate metabolic process
