Sample ID	Sample Name	Experiment	Run	Series Accession	Study Title	Species	Model	Library Seletion	Library Source	Library Strategy	Samples	Strain	Carbon Sources	Temperature	Time	Year
mt008023	GSM5556668,GSM5556669	 SRX12008484, SRX12008485	SRR15712854,SRR15712855	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	JK2.8_Clr4_t3_R1,JK2.8_Clr4_t3_R2	JK2.8 	Cellulose 	45°	2h	2021 Sep
mt008024	GSM5556670,GSM5556671,GSM5556672	 SRX12008486, SRX12008487, SRX12008488	SRR15712856,SRR15712857,SRR15712858	GSE183387	Transcriptomic insights into the roles of the transcription factors Clr1, Clr2 and Clr4 in lignocellulose degradation of the thermophilic fungal platform Thermothelomyces thermophilus	Myceliphothora thermophila	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	JK2.8_Clr4_t4_R1,JK2.8_Clr4_t4_R2_flowcell1,JK2.8_Clr4_t4_R2_flowcell2	JK2.8 	Cellulose 	45°	4h	2021 Sep
mt009001	GSM6600079,GSM6600080	 SRX17699592, SRX17699593	SRR21702087,SRR21702086	GSE214142	PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila	Myceliphothora thermophila ATCC 42464	DNBSEQ-G400	cDNA	transcriptomic	RNA-Seq	WT_2D_1,WT_2D_2	wt	Glucose	45°	2d	2022
mt009002	GSM6600081,GSM6600082	 SRX17699594, SRX17699595	SRR21702085,SRR21702084	GSE214142	PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila	Myceliphothora thermophila ATCC 42464	DNBSEQ-G400	cDNA	transcriptomic	RNA-Seq	WT_4D_1,WT_4D_2	wt	Glucose	45°	4d	2022
mt009003	GSM6600083,GSM6600084	 SRX17699596, SRX17699597	SRR21702083,SRR21702082	GSE214142	PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila	Myceliphothora thermophila ATCC 42464	DNBSEQ-G400	cDNA	transcriptomic	RNA-Seq	Δpfk2_a_2D_1,Δpfk2_a_2D_2	Δpfk2	Glucose	45°	2d	2022
mt009004	GSM6600085,GSM6600086	 SRX17699598, SRX17699599	SRR21702081,SRR21702080	GSE214142	PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila	Myceliphothora thermophila ATCC 42464	DNBSEQ-G400	cDNA	transcriptomic	RNA-Seq	Δpfk2_a_4D_1,Δpfk2_a_4D_2	Δpfk2	Glucose	45°	4d	2022
mt009005	GSM6600087,GSM6600088	 SRX17699600, SRX17699601	SRR21702079,SRR21702078	GSE214142	PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila	Myceliphothora thermophila ATCC 42464	DNBSEQ-G400	cDNA	transcriptomic	RNA-Seq	Δpfk2_b_2D_1,Δpfk2_b_2D_2	Δpfk2	Glucose	45°	2d	2022
mt009006	GSM6600089,GSM6600090	 SRX17699602, SRX17699603	SRR21702077,SRR21702076	GSE214142	PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila	Myceliphothora thermophila ATCC 42464	DNBSEQ-G400	cDNA	transcriptomic	RNA-Seq	Δpfk2_c_2D_1,Δpfk2_c_2D_2	Δpfk2	Glucose	45°	2d	2022
mt009007	GSM6600091,GSM6600092	 SRX17699604, SRX17699605	SRR21702075,SRR21702074	GSE214142	PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila	Myceliphothora thermophila ATCC 42464	DNBSEQ-G400	cDNA	transcriptomic	RNA-Seq	Δpfk2_c_4D_1,Δpfk2_c_4D_2	Δpfk2	Glucose	45°	4d	2022
mt009008	GSM6600093,GSM6600094	 SRX17699606, SRX17699607	SRR21702073,SRR21702072	GSE214142	PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila	Myceliphothora thermophila ATCC 42464	DNBSEQ-G400	cDNA	transcriptomic	RNA-Seq	Δpfk2_abc_2D_1,Δpfk2_abc_2D_2	Δpfk2	Glucose	45°	2d	2022
mt009009	GSM6600095,GSM6600096	 SRX17699608, SRX17699609	SRR21702071,SRR21702070	GSE214142	PFK2/FBPase-2 is a potential target for metabolic engineering in the filamentous fungus Myceliophthora thermophila	Myceliphothora thermophila ATCC 42464	DNBSEQ-G400	cDNA	transcriptomic	RNA-Seq	Δpfk2_abc_4D_1,Δpfk2_abc_4D_2	Δpfk2	Glucose	45°	4d	2022
mt010001	GSM5577201,GSM5577202,GSM5577203	 SRX12177110, SRX12177111, SRX12177100	SRR15886250,SRR15886251,SRR15886252	GSE184074	Reconstruction and analysis genome-scale metabolic model of thermophilic fungus Myceliophthora thermophila	Myceliphothora thermophila ATCC 42464	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	T35_1,T35_2,T35_3	wt	Glucose	35°	66h	2022 Jul
mt010002	GSM5577204,GSM5577205,GSM5577206	 SRX12177101, SRX12177102, SRX12177103	SRR15886253,SRR15886254,SRR15886255	GSE184074	Reconstruction and analysis genome-scale metabolic model of thermophilic fungus Myceliophthora thermophila	Myceliphothora thermophila ATCC 42464	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	T40_1,T40_2,T40_3	wt	Glucose	40°	40h	2022 Jul
mt010003	GSM5577207,GSM5577208,GSM5577209	 SRX12177104, SRX12177105, SRX12177106	SRR15886256,SRR15886257,SRR15886258	GSE184074	Reconstruction and analysis genome-scale metabolic model of thermophilic fungus Myceliophthora thermophila	Myceliphothora thermophila ATCC 42464	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	T45_1,T45_2,T45_3	wt	Glucose	45°	40h	2022 Jul
mt010004	GSM5577210,GSM5577211,GSM5577212	 SRX12177107, SRX12177108, SRX12177109	SRR15886259,SRR15886248,SRR15886249	GSE184074	Reconstruction and analysis genome-scale metabolic model of thermophilic fungus Myceliophthora thermophila	Myceliphothora thermophila ATCC 42464	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	T50_1,T50_2,T50_3	wt	Glucose	50°	40h	2022 Jul
mt011001	GSM6206886,GSM6206887,GSM6206888	 SRX15507624, SRX15507625, SRX15507626	SRR19454725,SRR19454724,SRR19454723	GSE205182	MtTRC-1, a Novel Transcription Factor, Regulates Cellulase Production via Directly Modulating the Genes Expression of the Mthac-1 and Mtcbh-1 in Myceliophthora Thermophila	Myceliphothora thermophila	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	Mycth_90344_A4h_1,Mycth_90344_A4h_2,Mycth_90344_A4h_3	ΔMycth_90344	Avicel	45°	4h	2022 Oct
mt011002	GSM6206889,GSM6206890,GSM6206891	 SRX15507627, SRX15507628, SRX15507629	SRR19454722,SRR19454721,SRR19454720	GSE205182	MtTRC-1, a Novel Transcription Factor, Regulates Cellulase Production via Directly Modulating the Genes Expression of the Mthac-1 and Mtcbh-1 in Myceliophthora Thermophila	Myceliphothora thermophila	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	Mycth_90344_A6h_1,Mycth_90344_A6h_2,Mycth_90344_A6h_3	ΔMycth_90344	Avicel	45°	6h	2022 Oct
